comment,sentiment
your support means the world to me must subscribe for more guys,positive
you do not need narration on this or subtitles,positive
us army,positive
tapout,positive
god bless all the following comrades a brother and sister a father or mother that our serving the military god bless you,positive
a video that didnt need a narrator jesus way to ruin the video thank you for your service,positive
,positive
boooo she contributed to the fall of this economy and innocent death on foreign soil no thank you for your service,positive
,positive
i have a yr old sisters right and a yr old brother when i was when i was born he was and he told me he will never leave my side when he turned he disappeared i couldnt see him until i got tolled hes in the army i got so sad starting to cry but last year during my soccer game when i got a penalty goal i heard someone scream u still learned the trick and when i look over i saw him my eyes started to tear down in happiness i ran straight over to him and while i was running over to him i saw blood coming from where his heart is i looked at himmin confusion and he said he got shot on the heart that he might not make it i started crying in tears and thats the last time i saw him i still cry to this day i hope he is ok,positive
so wonderful for mum true love,positive
mable playing in the background,positive
,positive
priceless,positive
thank you for your service and also wow you are so hot,positive
so beautiful,positive
,positive
,positive
the moms face,positive
the moms face,positive
no more narration,positive
,positive
bro we can fckn see whats happening just caption it daughter coming home or something no need to narrate the whole thing,positive
how about playing the a tual audio instead of narrating a video that doesnt need it,positive
join the military in to escape bad family situation returned four years later never found my family,positive
thats the best,positive
little girl is crazy,positive
ive been watching clips like this all night bc it just makes me feel good god bless our soldiers,positive
her mom is so cute,positive
snucknot sneaked,positive
this women is beautiful i cried of happiness once when my dad came home from work he was a construction worker and he is very awesome i cant believe how this woman came home from the us army im gonna cry,positive
i crying,positive
,positive
i dont need a play by play of the obvious that is happening right before my eyes shut up,positive
so good,positive
,positive
thats nicee,positive
,positive
,positive
heart warming,positive
thank you to all who serve their country and thank you for sharing your heartwarming surprise reunion with your loved ones that bring tears to me and everyone else,positive
im that vet and i love watching this stuff,positive
its nott the air force it us army,positive
definitely a step dad,positive
youmom,positive
,positive
ahb caylyx,positive
thank you for your service,positive
yuo ahb,positive
this emotional reunion is incredibly heartwarming adoption stories like this inspire so many families out there we explore similar touching stories on our adoption lounge podcast,positive
yes czylyx,positive
musta been months,positive
old native tradition to touch someone usually an enemy without them noticing shes on her way to war chief,positive
wow,positive
thank you for your service young lady may god bless you and your family,positive
its so emotional,positive
a female old enough to serve in the usaf is a woman not a girl,positive
ok po,positive
ok,positive
beautiful,positive
she wasnt on deployment she has no deployment patch,positive
off voice fuck you we see the vide so shut up mother fucker,positive
it is good to see their parents,positive
a,positive
,positive
yup just like my father completely closes down from emotions and takes a step back,positive
the camera man was invisible,positive
i want to cry,positive
the fact that the dad didnt react or move so that the daughter can have a mom daughter momentis so nice of him,positive
my friend came back thanks heros i got to say hi to my friend who was in the military thanks for your service,positive
omg shes so young god bless her,positive
damn she is hot i wish i can arm wrestle or galpple with her with hoped i lose with ease,positive
just a normal person like who,positive
thank u for ur service hunnie,positive
how can i provide unneeded commentary on this video so i can steal it,positive
aww,positive
thinking it was just a normal person,positive
quit yapping,positive
too adorable,positive
moment of silence for the framed folded flag in the back,positive
ohhh yea,positive
barracks bunny nasty women,positive
love these,positive
great reaction not a fan of the unprofessional potentially dangerous ponytail,positive
thats good thats good people they help them,positive
gods armor,positive
explaining everything happening in the video is diabolical,positive
loved the shock on the mums face,positive
,positive
shes years old,positive
these are some of thee best videos man pure raw emotion,positive
mom eye when she realise,positive
this video made me smiled,positive
its a commentary for blind,positive
awesome surprise,positive
does anyone notice madea on tv in the background,positive
timothy but the lord stood with me and gaved me strengh,positive
and shes beautiful,positive
usa busybody at vietnam now busybody at arab countries as soldiers u are to defend your country not go other people land,positive
,positive
im happy for you,positive
,positive
oh jeez,positive
good honest hard working american and their lovely parents love from india for your service to your country,positive
this was so beautiful and by the way i see the parents was watching a madea movie,positive
so beautiful,positive
must be nice to have a family,positive
bellissimo,positive
thank you for all your service,positive
love,positive
,positive
mom almost gave up the ghost,positive
god bless america,positive
powerful daughtermay lord praise her everyday amen,positive
awesome thank you jesus god bless this family,positive
priceless,positive
welcome home thank you for your service god bless,positive
,positive
,positive
im from vietnam hello im love the usa so much,positive
najpikniejsza chwila dla rodzicwpozdrowienia dla was z polski,positive
,positive
,positive
i dont get this video where is her baret her hair is long and allso tie up her uniform is not properly iron no rank i served as a peace keeper with the united nation during the bosnia war in,positive
nice way to surprise her mom lovebyou soldier,positive
im sorry but you are just amazingly gorgeous thanks for your service,positive
deployment no rank no unit patch this is suspect,positive
like im home baby thank you for your service,positive
,positive
amrica,positive
absolutely beautiful and awesome and thank you for your service,positive
thank you so much for your service to our beautiful country and i thank you with all my heart god bless you and your family always patricia,positive
tueurs,positive
thank you for your service sister in coulours we changed in case united we served and protect our countries,positive
,positive
ma ha un cognome italiano saranno emigrati,positive
happy with your family,positive
normal person always just walks up,positive
and famili irak syrie afghanistan libye,positive
,positive
coming home still in work clothes,positive
imagine the grief if she didnt come back,positive
so many people diedbecause of you,positive
